P,ET,modeled_Q,obs_Q
0,0.93,0.427,0.731
0,0.9,0.37,0.528
0,0.87,0.357,0.462
0,0.85,0.352,0.439
0,0.82,0.347,0.419
2.1,0.8,0.349,0.399
1.7,0.78,0.362,0.399
14.8,0.76,0.442,0.435
1,0.74,0.593,1.462
12.7,0.73,0.577,0.817
9.5,0.74,0.802,1.595
1,0.73,0.844,1.811
14.1,0.71,0.882,1.120
6.2,0.7,1.214,1.711
6,0.69,1.266,1.927
0.2,0.68,1.265,1.711
1,0.67,1.134,1.170
3.4,0.67,1.119,0.950
1.9,0.66,1.164,0.974
0.7,0.65,1.115,0.930
14.3,0.66,1.303,0.997
15.1,0.65,2.077,2.526
6.2,0.64,2.61,3.655
1.4,0.64,2.465,2.542
2.5,0.63,2.204,1.828
5.2,0.63,2.216,1.578
4.9,0.62,2.381,1.695
7.5,0.62,2.588,2.027
9.6,0.61,3.053,3.041
0,0.6,3.204,3.024
0,0.59,2.667,2.027
0,0.59,2.336,1.695
0,0.58,2.112,1.568
0,0.58,1.933,1.502
0.5,0.57,1.787,1.442
0,0.57,1.665,1.392
0.1,0.57,1.562,1.323
0,0.57,1.474,1.243
0,0.57,1.397,1.196
0.2,0.56,1.33,1.156
0.2,0.58,1.271,1.117
0,0.58,1.218,1.080
0,0.58,1.171,1.050
0,0.58,1.128,1.017
0,0.57,1.089,0.987
0,0.57,1.053,0.957
0,0.57,1.021,0.927
0,0.56,0.991,0.894
0,0.56,0.963,0.864
0,0.55,0.937,0.834
0,0.53,0.914,0.804
0,0.52,0.891,0.774
0,0.51,0.87,0.741
0,0.51,0.851,0.754
1.9,0.5,0.859,0.774
0.3,0.5,0.887,0.857
2.1,0.49,0.878,0.884
0,0.49,0.907,0.884
14.1,0.48,1.154,0.980
6.2,0.48,1.823,2.276
2.1,0.47,1.859,2.077
0.2,0.46,1.689,1.532
0.3,0.46,1.54,1.369
0,0.46,1.448,1.080
0,0.46,1.374,0.957
0.9,0.46,1.322,0.887
0.1,0.46,1.284,0.871
0,0.46,1.224,0.857
0,0.46,1.175,0.844
0,0.46,1.132,0.831
0.2,0.46,1.094,0.821
0,0.46,1.058,0.808
0,0.46,1.026,0.798
0.2,0.47,0.997,0.784
0,0.47,0.97,0.774
0,0.48,0.944,0.761
0,0.48,0.921,0.751
1.6,0.49,0.922,0.738
7.3,0.49,1.088,0.884
5.2,0.5,1.424,1.695
2.3,0.5,1.516,2.210
0,0.54,1.43,1.678
0,0.55,1.317,1.233
0,0.56,1.252,1.067
0,0.56,1.201,1.010
0,0.56,1.155,0.950
0,0.56,1.114,0.930
0,0.56,1.076,0.920
0,0.56,1.042,0.911
0.3,0.55,1.01,0.904
0,0.55,0.982,0.894
0,0.49,0.955,0.884
0,0.48,0.93,0.857
0,0.48,0.907,0.821
0,0.47,0.885,0.784
4,0.47,0.936,0.751
0.2,0.47,1.038,0.984
1.1,0.48,0.971,0.984
0.1,0.48,0.953,0.917
0,0.49,0.92,0.881
0,0.49,0.894,0.847
0,0.5,0.873,0.817
0.1,0.53,0.853,0.788
0,0.54,0.835,0.758
0,0.55,0.817,0.761
0,0.57,0.801,0.774
0,0.58,0.785,0.764
0,0.59,0.77,0.754
0,0.6,0.755,0.748
0.3,0.61,0.742,0.738
3.5,0.63,0.778,0.867
12.2,0.64,1.08,1.602
2.2,0.64,1.471,2.210
9.1,0.66,1.52,2.808
4.5,0.67,1.88,2.226
3,0.69,1.906,2.675
2.6,0.71,1.871,1.977
2.2,0.73,1.842,1.811
0.2,0.75,1.759,1.582
0,0.77,1.617,1.399
0,0.8,1.515,1.296
0,0.82,1.433,1.269
0,0.87,1.361,1.246
0,0.89,1.298,1.230
0,0.91,1.241,1.223
0,0.94,1.19,1.213
0,0.96,1.144,1.206
0,0.99,1.102,1.196
1.1,1.01,1.066,1.186
0.5,1.03,1.035,1.180
0,1.03,1.002,1.173
0.4,1.05,0.971,1.249
0,1.08,0.944,1.226
0,1.1,0.918,1.127
0,1.12,0.893,1.077
0,1.14,0.87,1.053
0.7,1.17,0.848,1.043
0.3,1.19,0.828,1.043
0,1.21,0.809,1.043
0,1.23,0.79,1.043
1.6,1.25,0.778,1.047
0.8,1.26,0.772,1.067
3.8,1.28,0.794,1.130
2.9,1.31,0.88,1.352
2.1,1.33,0.888,1.572
0,1.35,0.859,1.638
0,1.38,0.82,1.412
0,1.41,0.797,1.339
0.3,1.43,0.778,1.293
0,1.46,0.76,1.246
0,1.49,0.743,1.200
0.4,1.54,0.726,1.153
1.2,1.57,0.71,1.113
6.2,1.6,0.766,1.233
0.9,1.62,0.877,1.695
9.2,1.65,0.925,1.568
7.2,1.67,1.228,2.027
